fir_id,date_filed,police_station,district,crime_type,area,description,status,section_of_law
FIR-2025-00141,2025-07-22,Kadri PS,Mangaluru,Chain Snatching,Kadri,"Gold chain snatched from complainant by two persons on a motorcycle near a parking lot, Kadri.",Open,IPC 356
FIR-2025-00142,2025-12-06,Devaraja PS,Mysuru,Fraud,Devaraja Mohalla,Complainant defrauded of Rs. 5000 in a loan processing fee scheme operating in Devaraja Mohalla.,Under Investigation,IPC 420
FIR-2025-00143,2025-10-09,Jayanagar PS,Bengaluru Urban,Assault,Indiranagar,Physical altercation reported near a shopping complex in Indiranagar. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00144,2026-06-23,Indiranagar PS,Bengaluru Urban,Assault,Koramangala,Physical altercation reported near the bus stand in Koramangala. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00145,2025-08-13,Cubbon Park PS,Bengaluru Urban,Theft,Malleshwaram,Complainant reported theft of cash from the bus stand in Malleshwaram. Estimated value Rs. 300000.,Open,IPC 379
FIR-2025-00146,2025-02-27,Indiranagar PS,Bengaluru Urban,Cybercrime,Koramangala,Complainant reported online fraud of Rs. 25000 via an OTP scam call. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00147,2025-07-12,Whitefield PS,Bengaluru Urban,Cybercrime,Indiranagar,Complainant reported online fraud of Rs. 12000 via a phishing email. Transaction traced to unknown account.,Open,IT Act 66
FIR-2025-00148,2025-07-26,Indiranagar PS,Bengaluru Urban,Assault,Malleshwaram,Physical altercation reported near a parking lot in Malleshwaram. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00149,2026-02-10,Hubballi City PS,Hubballi-Dharwad,Chain Snatching,Old Hubballi,"Gold chain snatched from complainant by two persons on a motorcycle near the market, Old Hubballi.",Open,IPC 356
FIR-2025-00150,2025-08-17,Hubballi City PS,Hubballi-Dharwad,Burglary,Old Hubballi,House break-in reported in Old Hubballi during night hours. Jewellery and cash worth Rs. 150000 stolen.,Open,IPC 457
FIR-2025-00151,2025-08-15,Yeshwanthpur PS,Bengaluru Urban,Fraud,Malleshwaram,Complainant defrauded of Rs. 12000 in a chit fund scheme operating in Malleshwaram.,Under Investigation,IPC 420
FIR-2025-00152,2026-04-03,Hubballi City PS,Hubballi-Dharwad,Fraud,Old Hubballi,Complainant defrauded of Rs. 12000 in a real-estate advance scheme operating in Old Hubballi.,Under Investigation,IPC 420
FIR-2025-00153,2026-05-20,Kadri PS,Mangaluru,Chain Snatching,Surathkal,"Gold chain snatched from complainant by two persons on a motorcycle near the railway station, Surathkal.",Open,IPC 356
FIR-2025-00154,2025-09-25,Mangaluru North PS,Mangaluru,Assault,Panambur,Physical altercation reported near the market in Panambur. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00155,2026-03-18,VV Puram PS,Mysuru,Cybercrime,Devaraja Mohalla,Complainant reported online fraud of Rs. 40000 via an OTP scam call. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00156,2025-10-16,Lashkar PS,Mysuru,Vehicle Theft,Kuvempunagar,"Two-wheeler bearing registration KA-10-AP-1062 stolen from parking area near the bus stand, Kuvempunagar.",Under Investigation,IPC 379A
FIR-2025-00157,2026-05-07,Indiranagar PS,Bengaluru Urban,Robbery,Malleshwaram,Armed robbery reported at the bus stand in Malleshwaram. Cash and valuables worth Rs. 12000 taken.,Closed,IPC 392
FIR-2025-00158,2025-04-04,Yeshwanthpur PS,Bengaluru Urban,Vehicle Theft,Jayanagar 4th Block,"Two-wheeler bearing registration KA-12-HJ-5313 stolen from parking area near a shopping complex, Jayanagar 4th Block.",Under Investigation,IPC 379A
FIR-2025-00159,2025-03-05,Indiranagar PS,Bengaluru Urban,Fraud,Malleshwaram,Complainant defrauded of Rs. 150000 in a loan processing fee scheme operating in Malleshwaram.,Closed,IPC 420
FIR-2025-00160,2025-08-30,Whitefield PS,Bengaluru Urban,Cybercrime,Whitefield,Complainant reported online fraud of Rs. 40000 via a fake UPI payment link. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00161,2025-03-22,Panambur PS,Mangaluru,Theft,Surathkal,Complainant reported theft of gold ornaments from a shopping complex in Surathkal. Estimated value Rs. 300000.,Under Investigation,IPC 379
FIR-2025-00162,2025-01-13,VV Puram PS,Mysuru,Fraud,Hebbal Industrial Area,Complainant defrauded of Rs. 75000 in a chit fund scheme operating in Hebbal Industrial Area.,Closed,IPC 420
FIR-2025-00163,2025-12-19,Lashkar PS,Mysuru,Theft,Kuvempunagar,Complainant reported theft of cash from a residential building in Kuvempunagar. Estimated value Rs. 150000.,Open,IPC 379
FIR-2025-00164,2026-02-10,Lashkar PS,Mysuru,Burglary,Devaraja Mohalla,House break-in reported in Devaraja Mohalla during night hours. Jewellery and cash worth Rs. 150000 stolen.,Closed,IPC 457
FIR-2025-00165,2025-04-11,Indiranagar PS,Bengaluru Urban,Assault,Whitefield,Physical altercation reported near the market in Whitefield. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00166,2026-06-13,Dharwad PS,Hubballi-Dharwad,Assault,Dharwad Market,Physical altercation reported near the railway station in Dharwad Market. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00167,2025-03-01,Indiranagar PS,Bengaluru Urban,Theft,Indiranagar,Complainant reported theft of a mobile phone from a residential building in Indiranagar. Estimated value Rs. 5000.,Under Investigation,IPC 379
FIR-2025-00168,2026-01-17,Dharwad PS,Hubballi-Dharwad,Burglary,Gokul Road,House break-in reported in Gokul Road during night hours. Jewellery and cash worth Rs. 12000 stolen.,Open,IPC 457
FIR-2025-00169,2025-08-08,Indiranagar PS,Bengaluru Urban,Theft,Malleshwaram,Complainant reported theft of a laptop from a parking lot in Malleshwaram. Estimated value Rs. 12000.,Closed,IPC 379
FIR-2025-00170,2025-08-18,Lashkar PS,Mysuru,Robbery,Devaraja Mohalla,Armed robbery reported at the market in Devaraja Mohalla. Cash and valuables worth Rs. 150000 taken.,Open,IPC 392
FIR-2025-00171,2026-02-11,Yeshwanthpur PS,Bengaluru Urban,Robbery,Malleshwaram,Armed robbery reported at the bus stand in Malleshwaram. Cash and valuables worth Rs. 75000 taken.,Under Investigation,IPC 392
FIR-2025-00172,2025-09-25,Jayanagar PS,Bengaluru Urban,Assault,Jayanagar 4th Block,Physical altercation reported near a shopping complex in Jayanagar 4th Block. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00173,2026-03-05,Lashkar PS,Mysuru,Chain Snatching,Kuvempunagar,"Gold chain snatched from complainant by two persons on a motorcycle near a parking lot, Kuvempunagar.",Under Investigation,IPC 356
FIR-2025-00174,2025-10-28,Mangaluru North PS,Mangaluru,Fraud,Kadri,Complainant defrauded of Rs. 150000 in a fake investment scheme operating in Kadri.,Under Investigation,IPC 420
FIR-2025-00175,2026-01-16,Kadri PS,Mangaluru,Assault,Panambur,Physical altercation reported near the market in Panambur. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00176,2026-02-28,Hubballi City PS,Hubballi-Dharwad,Assault,Old Hubballi,Physical altercation reported near a shopping complex in Old Hubballi. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00177,2025-07-01,Jayanagar PS,Bengaluru Urban,Theft,Jayanagar 4th Block,Complainant reported theft of a mobile phone from the bus stand in Jayanagar 4th Block. Estimated value Rs. 40000.,Closed,IPC 379
FIR-2025-00178,2026-03-16,Kadri PS,Mangaluru,Theft,Surathkal,Complainant reported theft of gold ornaments from a residential building in Surathkal. Estimated value Rs. 40000.,Closed,IPC 379
FIR-2025-00179,2025-01-05,Panambur PS,Mangaluru,Cybercrime,Hampankatta,Complainant reported online fraud of Rs. 150000 via a fraudulent job portal. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00180,2025-10-25,Whitefield PS,Bengaluru Urban,Fraud,Jayanagar 4th Block,Complainant defrauded of Rs. 75000 in a loan processing fee scheme operating in Jayanagar 4th Block.,Under Investigation,IPC 420
FIR-2025-00181,2025-01-20,Indiranagar PS,Bengaluru Urban,Vehicle Theft,Whitefield,"Two-wheeler bearing registration KA-38-CK-7006 stolen from parking area near a parking lot, Whitefield.",Closed,IPC 379A
FIR-2025-00182,2025-02-19,Panambur PS,Mangaluru,Assault,Panambur,Physical altercation reported near a parking lot in Panambur. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00183,2025-07-30,VV Puram PS,Mysuru,Cybercrime,Lashkar Mohalla,Complainant reported online fraud of Rs. 40000 via a fake UPI payment link. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00184,2026-05-25,Devaraja PS,Mysuru,Assault,Devaraja Mohalla,Physical altercation reported near a shopping complex in Devaraja Mohalla. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00185,2025-12-05,Indiranagar PS,Bengaluru Urban,Theft,Whitefield,Complainant reported theft of a mobile phone from the bus stand in Whitefield. Estimated value Rs. 150000.,Closed,IPC 379
FIR-2025-00186,2025-08-25,Whitefield PS,Bengaluru Urban,Burglary,Jayanagar 4th Block,House break-in reported in Jayanagar 4th Block during night hours. Jewellery and cash worth Rs. 40000 stolen.,Under Investigation,IPC 457
FIR-2025-00187,2025-04-08,Devaraja PS,Mysuru,Assault,Devaraja Mohalla,Physical altercation reported near a shopping complex in Devaraja Mohalla. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00188,2026-04-13,Jayanagar PS,Bengaluru Urban,Theft,Whitefield,Complainant reported theft of gold ornaments from a parking lot in Whitefield. Estimated value Rs. 300000.,Under Investigation,IPC 379
FIR-2025-00189,2025-04-17,Whitefield PS,Bengaluru Urban,Vehicle Theft,Indiranagar,"Two-wheeler bearing registration KA-40-GP-1472 stolen from parking area near a residential building, Indiranagar.",Closed,IPC 379A
FIR-2025-00190,2026-05-10,Dharwad PS,Hubballi-Dharwad,Burglary,Gokul Road,House break-in reported in Gokul Road during night hours. Jewellery and cash worth Rs. 40000 stolen.,Closed,IPC 457
FIR-2025-00191,2026-06-16,VV Puram PS,Mysuru,Cybercrime,Kuvempunagar,Complainant reported online fraud of Rs. 40000 via an OTP scam call. Transaction traced to unknown account.,Open,IT Act 66
FIR-2025-00192,2026-05-23,Hubballi City PS,Hubballi-Dharwad,Cybercrime,Dharwad Market,Complainant reported online fraud of Rs. 25000 via an OTP scam call. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00193,2026-04-04,Cubbon Park PS,Bengaluru Urban,Cybercrime,Malleshwaram,Complainant reported online fraud of Rs. 25000 via a fake UPI payment link. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00194,2025-11-08,VV Puram PS,Mysuru,Theft,Devaraja Mohalla,Complainant reported theft of a bicycle from a shopping complex in Devaraja Mohalla. Estimated value Rs. 150000.,Under Investigation,IPC 379
FIR-2025-00195,2026-04-09,Mangaluru North PS,Mangaluru,Robbery,Panambur,Armed robbery reported at a parking lot in Panambur. Cash and valuables worth Rs. 12000 taken.,Open,IPC 392
FIR-2025-00196,2026-02-24,Cubbon Park PS,Bengaluru Urban,Theft,Koramangala,Complainant reported theft of cash from the railway station in Koramangala. Estimated value Rs. 12000.,Closed,IPC 379
FIR-2025-00197,2025-02-17,Yeshwanthpur PS,Bengaluru Urban,Assault,Whitefield,Physical altercation reported near a residential building in Whitefield. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00198,2025-05-12,Mangaluru North PS,Mangaluru,Vehicle Theft,Kadri,"Two-wheeler bearing registration KA-27-DN-7518 stolen from parking area near a parking lot, Kadri.",Closed,IPC 379A
FIR-2025-00199,2025-05-22,Dharwad PS,Hubballi-Dharwad,Cybercrime,Gokul Road,Complainant reported online fraud of Rs. 150000 via a fraudulent job portal. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00200,2025-05-16,Indiranagar PS,Bengaluru Urban,Assault,Koramangala,Physical altercation reported near the railway station in Koramangala. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00201,2025-01-14,Hubballi City PS,Hubballi-Dharwad,Cybercrime,Dharwad Market,Complainant reported online fraud of Rs. 12000 via a fake UPI payment link. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00202,2025-07-28,Yeshwanthpur PS,Bengaluru Urban,Theft,Jayanagar 4th Block,Complainant reported theft of a mobile phone from the market in Jayanagar 4th Block. Estimated value Rs. 300000.,Under Investigation,IPC 379
FIR-2025-00203,2026-01-26,Kadri PS,Mangaluru,Burglary,Hampankatta,House break-in reported in Hampankatta during night hours. Jewellery and cash worth Rs. 25000 stolen.,Closed,IPC 457
FIR-2025-00204,2025-07-21,Hubballi City PS,Hubballi-Dharwad,Burglary,Old Hubballi,House break-in reported in Old Hubballi during night hours. Jewellery and cash worth Rs. 12000 stolen.,Under Investigation,IPC 457
FIR-2025-00205,2025-01-06,Lashkar PS,Mysuru,Theft,Kuvempunagar,Complainant reported theft of gold ornaments from a parking lot in Kuvempunagar. Estimated value Rs. 12000.,Under Investigation,IPC 379
FIR-2025-00206,2026-06-23,Devaraja PS,Mysuru,Assault,Kuvempunagar,Physical altercation reported near the railway station in Kuvempunagar. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00207,2025-10-28,Indiranagar PS,Bengaluru Urban,Assault,Jayanagar 4th Block,Physical altercation reported near the railway station in Jayanagar 4th Block. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00208,2025-11-25,Lashkar PS,Mysuru,Robbery,Devaraja Mohalla,Armed robbery reported at a residential building in Devaraja Mohalla. Cash and valuables worth Rs. 25000 taken.,Open,IPC 392
FIR-2025-00209,2025-04-09,Hubballi City PS,Hubballi-Dharwad,Theft,Vidyanagar,Complainant reported theft of a bicycle from the railway station in Vidyanagar. Estimated value Rs. 5000.,Open,IPC 379
FIR-2025-00210,2025-03-15,Panambur PS,Mangaluru,Vehicle Theft,Surathkal,"Two-wheeler bearing registration KA-06-BJ-3916 stolen from parking area near the bus stand, Surathkal.",Closed,IPC 379A
FIR-2025-00211,2025-09-22,Lashkar PS,Mysuru,Cybercrime,Lashkar Mohalla,Complainant reported online fraud of Rs. 150000 via a phishing email. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00212,2025-03-16,Lashkar PS,Mysuru,Robbery,Devaraja Mohalla,Armed robbery reported at the bus stand in Devaraja Mohalla. Cash and valuables worth Rs. 25000 taken.,Closed,IPC 392
FIR-2025-00213,2025-05-20,Whitefield PS,Bengaluru Urban,Theft,Indiranagar,Complainant reported theft of a bicycle from the market in Indiranagar. Estimated value Rs. 150000.,Open,IPC 379
FIR-2025-00214,2025-03-29,Jayanagar PS,Bengaluru Urban,Robbery,Malleshwaram,Armed robbery reported at a parking lot in Malleshwaram. Cash and valuables worth Rs. 150000 taken.,Open,IPC 392
FIR-2025-00215,2025-02-25,Panambur PS,Mangaluru,Theft,Kadri,Complainant reported theft of gold ornaments from a parking lot in Kadri. Estimated value Rs. 75000.,Open,IPC 379
FIR-2025-00216,2025-05-12,VV Puram PS,Mysuru,Chain Snatching,Kuvempunagar,"Gold chain snatched from complainant by two persons on a motorcycle near the bus stand, Kuvempunagar.",Under Investigation,IPC 356
FIR-2025-00217,2026-01-09,Jayanagar PS,Bengaluru Urban,Robbery,Malleshwaram,Armed robbery reported at a shopping complex in Malleshwaram. Cash and valuables worth Rs. 5000 taken.,Closed,IPC 392
FIR-2025-00218,2026-04-19,Whitefield PS,Bengaluru Urban,Burglary,Whitefield,House break-in reported in Whitefield during night hours. Jewellery and cash worth Rs. 40000 stolen.,Closed,IPC 457
FIR-2025-00219,2025-03-20,Cubbon Park PS,Bengaluru Urban,Burglary,Koramangala,House break-in reported in Koramangala during night hours. Jewellery and cash worth Rs. 150000 stolen.,Under Investigation,IPC 457
FIR-2025-00220,2026-01-10,Dharwad PS,Hubballi-Dharwad,Cybercrime,Gokul Road,Complainant reported online fraud of Rs. 150000 via a fraudulent job portal. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00221,2026-06-11,Devaraja PS,Mysuru,Fraud,Lashkar Mohalla,Complainant defrauded of Rs. 12000 in a loan processing fee scheme operating in Lashkar Mohalla.,Open,IPC 420
FIR-2025-00222,2025-07-31,Yeshwanthpur PS,Bengaluru Urban,Theft,Koramangala,Complainant reported theft of cash from a residential building in Koramangala. Estimated value Rs. 40000.,Under Investigation,IPC 379
FIR-2025-00223,2025-06-28,Whitefield PS,Bengaluru Urban,Burglary,Malleshwaram,House break-in reported in Malleshwaram during night hours. Jewellery and cash worth Rs. 75000 stolen.,Closed,IPC 457
FIR-2025-00224,2025-01-07,Yeshwanthpur PS,Bengaluru Urban,Fraud,Malleshwaram,Complainant defrauded of Rs. 12000 in a chit fund scheme operating in Malleshwaram.,Open,IPC 420
FIR-2025-00225,2025-08-24,Whitefield PS,Bengaluru Urban,Burglary,MG Road,House break-in reported in MG Road during night hours. Jewellery and cash worth Rs. 5000 stolen.,Open,IPC 457
FIR-2025-00226,2025-05-18,Yeshwanthpur PS,Bengaluru Urban,Cybercrime,Indiranagar,Complainant reported online fraud of Rs. 12000 via a fake UPI payment link. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00227,2025-08-10,Kadri PS,Mangaluru,Fraud,Hampankatta,Complainant defrauded of Rs. 300000 in a fake investment scheme operating in Hampankatta.,Under Investigation,IPC 420
FIR-2025-00228,2026-04-10,VV Puram PS,Mysuru,Theft,Kuvempunagar,Complainant reported theft of a bicycle from the bus stand in Kuvempunagar. Estimated value Rs. 12000.,Under Investigation,IPC 379
FIR-2025-00229,2025-04-09,Hubballi City PS,Hubballi-Dharwad,Burglary,Gokul Road,House break-in reported in Gokul Road during night hours. Jewellery and cash worth Rs. 75000 stolen.,Closed,IPC 457
FIR-2025-00230,2026-06-19,Dharwad PS,Hubballi-Dharwad,Burglary,Dharwad Market,House break-in reported in Dharwad Market during night hours. Jewellery and cash worth Rs. 150000 stolen.,Under Investigation,IPC 457
FIR-2025-00231,2026-03-12,Mangaluru North PS,Mangaluru,Burglary,Hampankatta,House break-in reported in Hampankatta during night hours. Jewellery and cash worth Rs. 300000 stolen.,Open,IPC 457
FIR-2025-00232,2026-06-17,Mangaluru North PS,Mangaluru,Theft,Hampankatta,Complainant reported theft of gold ornaments from a parking lot in Hampankatta. Estimated value Rs. 12000.,Under Investigation,IPC 379
FIR-2025-00233,2026-01-10,Yeshwanthpur PS,Bengaluru Urban,Fraud,Whitefield,Complainant defrauded of Rs. 40000 in a loan processing fee scheme operating in Whitefield.,Under Investigation,IPC 420
FIR-2025-00234,2025-12-19,Whitefield PS,Bengaluru Urban,Chain Snatching,Malleshwaram,"Gold chain snatched from complainant by two persons on a motorcycle near a parking lot, Malleshwaram.",Under Investigation,IPC 356
FIR-2025-00235,2025-06-14,Kadri PS,Mangaluru,Fraud,Hampankatta,Complainant defrauded of Rs. 300000 in a loan processing fee scheme operating in Hampankatta.,Open,IPC 420
FIR-2025-00236,2026-01-29,Whitefield PS,Bengaluru Urban,Robbery,Koramangala,Armed robbery reported at a parking lot in Koramangala. Cash and valuables worth Rs. 75000 taken.,Open,IPC 392
FIR-2025-00237,2025-07-19,Hubballi City PS,Hubballi-Dharwad,Vehicle Theft,Old Hubballi,"Two-wheeler bearing registration KA-44-AP-4919 stolen from parking area near the railway station, Old Hubballi.",Under Investigation,IPC 379A
FIR-2025-00238,2026-02-14,Dharwad PS,Hubballi-Dharwad,Theft,Old Hubballi,Complainant reported theft of gold ornaments from a residential building in Old Hubballi. Estimated value Rs. 75000.,Closed,IPC 379
FIR-2025-00239,2025-10-11,Devaraja PS,Mysuru,Robbery,Kuvempunagar,Armed robbery reported at a shopping complex in Kuvempunagar. Cash and valuables worth Rs. 40000 taken.,Open,IPC 392
FIR-2025-00240,2026-06-10,Jayanagar PS,Bengaluru Urban,Assault,MG Road,Physical altercation reported near the railway station in MG Road. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00241,2025-01-29,Whitefield PS,Bengaluru Urban,Cybercrime,Malleshwaram,Complainant reported online fraud of Rs. 5000 via a phishing email. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00242,2025-09-12,Lashkar PS,Mysuru,Theft,Kuvempunagar,Complainant reported theft of a mobile phone from a residential building in Kuvempunagar. Estimated value Rs. 150000.,Under Investigation,IPC 379
FIR-2025-00243,2026-05-26,Hubballi City PS,Hubballi-Dharwad,Theft,Gokul Road,Complainant reported theft of a laptop from a parking lot in Gokul Road. Estimated value Rs. 12000.,Open,IPC 379
FIR-2025-00244,2026-05-20,Yeshwanthpur PS,Bengaluru Urban,Vehicle Theft,Koramangala,"Two-wheeler bearing registration KA-40-FR-5501 stolen from parking area near the railway station, Koramangala.",Under Investigation,IPC 379A
FIR-2025-00245,2026-02-12,Hubballi City PS,Hubballi-Dharwad,Vehicle Theft,Old Hubballi,"Two-wheeler bearing registration KA-35-AP-7450 stolen from parking area near a shopping complex, Old Hubballi.",Closed,IPC 379A
FIR-2025-00246,2026-06-15,Kadri PS,Mangaluru,Cybercrime,Hampankatta,Complainant reported online fraud of Rs. 5000 via a fake UPI payment link. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00247,2025-10-03,Whitefield PS,Bengaluru Urban,Cybercrime,Indiranagar,Complainant reported online fraud of Rs. 25000 via an OTP scam call. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00248,2025-05-15,Yeshwanthpur PS,Bengaluru Urban,Cybercrime,Malleshwaram,Complainant reported online fraud of Rs. 150000 via a fraudulent job portal. Transaction traced to unknown account.,Open,IT Act 66
FIR-2025-00249,2025-06-30,Dharwad PS,Hubballi-Dharwad,Theft,Vidyanagar,Complainant reported theft of gold ornaments from a shopping complex in Vidyanagar. Estimated value Rs. 300000.,Open,IPC 379
FIR-2025-00250,2026-05-03,Cubbon Park PS,Bengaluru Urban,Theft,Jayanagar 4th Block,Complainant reported theft of gold ornaments from a parking lot in Jayanagar 4th Block. Estimated value Rs. 25000.,Under Investigation,IPC 379
FIR-2025-00251,2025-07-23,Yeshwanthpur PS,Bengaluru Urban,Robbery,Malleshwaram,Armed robbery reported at a parking lot in Malleshwaram. Cash and valuables worth Rs. 150000 taken.,Closed,IPC 392
FIR-2025-00252,2025-05-29,Indiranagar PS,Bengaluru Urban,Assault,Koramangala,Physical altercation reported near a residential building in Koramangala. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00253,2025-10-05,Lashkar PS,Mysuru,Burglary,Hebbal Industrial Area,House break-in reported in Hebbal Industrial Area during night hours. Jewellery and cash worth Rs. 75000 stolen.,Closed,IPC 457
FIR-2025-00254,2025-08-04,Devaraja PS,Mysuru,Vehicle Theft,Devaraja Mohalla,"Two-wheeler bearing registration KA-36-AJ-7504 stolen from parking area near the bus stand, Devaraja Mohalla.",Under Investigation,IPC 379A
FIR-2025-00255,2025-03-28,Dharwad PS,Hubballi-Dharwad,Theft,Gokul Road,Complainant reported theft of cash from a shopping complex in Gokul Road. Estimated value Rs. 12000.,Closed,IPC 379
FIR-2025-00256,2026-05-03,Whitefield PS,Bengaluru Urban,Robbery,Jayanagar 4th Block,Armed robbery reported at the market in Jayanagar 4th Block. Cash and valuables worth Rs. 75000 taken.,Under Investigation,IPC 392
FIR-2025-00257,2026-05-09,VV Puram PS,Mysuru,Assault,Kuvempunagar,Physical altercation reported near the bus stand in Kuvempunagar. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00258,2025-12-19,Lashkar PS,Mysuru,Burglary,Lashkar Mohalla,House break-in reported in Lashkar Mohalla during night hours. Jewellery and cash worth Rs. 5000 stolen.,Under Investigation,IPC 457
FIR-2025-00259,2026-02-26,Panambur PS,Mangaluru,Cybercrime,Kadri,Complainant reported online fraud of Rs. 12000 via an OTP scam call. Transaction traced to unknown account.,Open,IT Act 66
FIR-2025-00260,2025-10-19,VV Puram PS,Mysuru,Cybercrime,Kuvempunagar,Complainant reported online fraud of Rs. 40000 via an OTP scam call. Transaction traced to unknown account.,Under Investigation,IT Act 66
FIR-2025-00261,2025-07-12,Lashkar PS,Mysuru,Theft,Hebbal Industrial Area,Complainant reported theft of a mobile phone from a shopping complex in Hebbal Industrial Area. Estimated value Rs. 5000.,Closed,IPC 379
FIR-2025-00262,2025-01-16,Kadri PS,Mangaluru,Theft,Kadri,Complainant reported theft of a laptop from the market in Kadri. Estimated value Rs. 40000.,Open,IPC 379
FIR-2025-00263,2026-02-06,Mangaluru North PS,Mangaluru,Theft,Panambur,Complainant reported theft of a bicycle from a residential building in Panambur. Estimated value Rs. 12000.,Closed,IPC 379
FIR-2025-00264,2025-09-11,Panambur PS,Mangaluru,Assault,Surathkal,Physical altercation reported near a shopping complex in Surathkal. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00265,2025-09-17,Kadri PS,Mangaluru,Burglary,Hampankatta,House break-in reported in Hampankatta during night hours. Jewellery and cash worth Rs. 25000 stolen.,Open,IPC 457
FIR-2025-00266,2025-09-06,Mangaluru North PS,Mangaluru,Robbery,Surathkal,Armed robbery reported at the railway station in Surathkal. Cash and valuables worth Rs. 300000 taken.,Under Investigation,IPC 392
FIR-2025-00267,2025-03-03,Lashkar PS,Mysuru,Assault,Devaraja Mohalla,Physical altercation reported near a parking lot in Devaraja Mohalla. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00268,2026-01-22,Jayanagar PS,Bengaluru Urban,Theft,Koramangala,Complainant reported theft of a laptop from the market in Koramangala. Estimated value Rs. 5000.,Under Investigation,IPC 379
FIR-2025-00269,2025-10-09,VV Puram PS,Mysuru,Assault,Hebbal Industrial Area,Physical altercation reported near a shopping complex in Hebbal Industrial Area. Complainant sustained minor injuries.,Open,IPC 323
FIR-2025-00270,2025-01-20,VV Puram PS,Mysuru,Assault,Lashkar Mohalla,Physical altercation reported near the railway station in Lashkar Mohalla. Complainant sustained minor injuries.,Under Investigation,IPC 323
FIR-2025-00271,2025-11-27,Kadri PS,Mangaluru,Theft,Panambur,Complainant reported theft of cash from the bus stand in Panambur. Estimated value Rs. 5000.,Open,IPC 379
FIR-2025-00272,2026-02-02,Whitefield PS,Bengaluru Urban,Theft,Malleshwaram,Complainant reported theft of a bicycle from the railway station in Malleshwaram. Estimated value Rs. 150000.,Closed,IPC 379
FIR-2025-00273,2026-04-25,Cubbon Park PS,Bengaluru Urban,Cybercrime,MG Road,Complainant reported online fraud of Rs. 150000 via a phishing email. Transaction traced to unknown account.,Open,IT Act 66
FIR-2025-00274,2026-06-16,Cubbon Park PS,Bengaluru Urban,Assault,Indiranagar,Physical altercation reported near a parking lot in Indiranagar. Complainant sustained minor injuries.,Closed,IPC 323
FIR-2025-00275,2026-03-14,Mangaluru North PS,Mangaluru,Cybercrime,Surathkal,Complainant reported online fraud of Rs. 75000 via a phishing email. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00276,2026-02-27,VV Puram PS,Mysuru,Chain Snatching,Kuvempunagar,"Gold chain snatched from complainant by two persons on a motorcycle near a parking lot, Kuvempunagar.",Under Investigation,IPC 356
FIR-2025-00277,2025-01-17,Yeshwanthpur PS,Bengaluru Urban,Burglary,Jayanagar 4th Block,House break-in reported in Jayanagar 4th Block during night hours. Jewellery and cash worth Rs. 5000 stolen.,Closed,IPC 457
FIR-2025-00278,2025-04-07,Devaraja PS,Mysuru,Cybercrime,Lashkar Mohalla,Complainant reported online fraud of Rs. 12000 via an OTP scam call. Transaction traced to unknown account.,Closed,IT Act 66
FIR-2025-00279,2025-03-21,Jayanagar PS,Bengaluru Urban,Assault,Indiranagar,Physical altercation reported near a shopping complex in Indiranagar. Complainant sustained minor injuries.,Closed,IPC 323
